src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_iat_min,tot_fwd_pkts,fwd_seg_size_min,target,
192.168.1.139,192.168.40.20,4421,1883,6,71.52557373,0,1,20,0,
192.168.1.63,192.168.40.20,9800,1883,6,64.84985352,0,1,20,0,
192.168.1.74,192.168.40.20,59895,1883,6,46.01478577,0,1,20,0,
192.168.1.166,192.168.40.20,29289,1883,6,47.68371582,0,1,20,0,
192.168.1.68,192.168.40.20,18257,1883,6,39.10064697,0,1,20,0,
192.168.1.9,192.168.40.20,45190,1883,6,35.04753113,0,1,20,0,
192.168.1.243,192.168.40.20,36328,1883,6,48.16055298,0,1,20,0,
192.168.1.56,192.168.40.20,46384,1883,6,35.04753113,0,1,20,0,
192.168.1.212,192.168.40.20,54274,1883,6,53.6441803,0,1,20,0,
192.168.1.138,192.168.40.20,49482,1883,6,82.49282837,0,1,20,0,
192.168.1.198,192.168.40.20,14163,1883,6,138.9980316,0,1,20,0,
192.168.1.219,192.168.40.20,57759,1883,6,53.40576172,0,1,20,0,
192.168.1.138,192.168.40.20,53658,1883,6,94.89059448,0,1,20,0,
192.168.1.236,192.168.40.20,15739,1883,6,119.9245453,0,1,20,0,
192.168.1.94,192.168.40.20,37007,1883,6,143.289566,0,1,20,0,
192.168.1.219,192.168.40.20,31636,1883,6,167.3698425,0,1,20,0,
192.168.1.25,192.168.40.20,33456,1883,6,192.6422119,0,1,20,0,
192.168.1.99,192.168.40.20,47397,1883,6,218.1529999,0,1,20,0,
192.168.1.37,192.168.40.20,10679,1883,6,240.0875092,0,1,20,0,
192.168.1.1,192.168.40.20,9004,1883,6,35.76278687,0,1,20,0,
192.168.1.222,192.168.40.20,58848,1883,6,87.73803711,0,1,20,0,
192.168.1.1,192.168.40.20,32239,1883,6,111.8183136,0,1,20,0,
192.168.1.239,192.168.40.20,28106,1883,6,136.8522644,0,1,20,0,
192.168.1.199,192.168.40.20,33017,1883,6,160.4557037,0,1,20,0,
192.168.1.150,192.168.40.20,2564,1883,6,78.6781311,0,1,20,0,
192.168.1.177,192.168.40.20,51862,1883,6,120.1629639,0,1,20,0,
192.168.1.39,192.168.40.20,21518,1883,6,76.29394531,0,1,20,0,
